date,scA,scH,scL,scComb,rolling_sum
2020-01-21,0.0,1.0,1.0,2.0,
2020-01-22,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333,4.333333333333333
2020-01-23,1.0,1.0,0.0,2.0,6.0
2020-01-24,1.0,1.0,1.0,3.0,6.0
2020-01-25,0.75,0.75,1.0,2.5,7.75
2020-01-26,,,,,
2020-01-27,1.0,1.0,0.0,2.0,6.0
2020-01-28,0.0,0.0,1.0,1.0,6.0
2020-01-29,,,,,
2020-01-30,,,,,
2020-01-31,,,,,
2020-02-01,0.0,1.0,1.0,2.0,5.0
2020-02-02,1.0,0.0,1.0,2.0,5.0
2020-02-03,1.0,1.0,1.0,3.0,7.5
2020-02-04,0.8,0.8,0.6,2.2,6.6
2020-02-05,0.0,1.0,0.5,1.5,6.5
2020-02-06,1.0,1.0,1.0,3.0,6.0
2020-02-07,,,,,
2020-02-08,,,,,
2020-02-09,1.0,1.0,1.0,3.0,8.0
2020-02-10,0.75,1.0,0.75,2.5,8.0
2020-02-11,0.0,1.0,0.5,1.5,6.5
2020-02-12,0.6666666666666666,1.0,0.6666666666666666,2.3333333333333335,5.666666666666667
2020-02-13,0.5,1.0,1.0,2.5,7.5
2020-02-14,0.4,0.4,0.2,1.0,4.0
2020-02-15,,,,,
2020-02-16,,,,,
2020-02-17,0.5,0.5,0.5,1.5,3.0
2020-02-18,0.5,1.0,0.0,1.5,5.0
2020-02-19,0.6666666666666666,1.0,1.0,2.6666666666666665,7.0
2020-02-20,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,5.0
2020-02-21,1.0,1.0,1.0,3.0,6.0
2020-02-22,,,,,
2020-02-23,0.5,1.0,0.75,2.25,7.75
2020-02-24,0.0,0.0,1.0,1.0,5.5
2020-02-25,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.6666666666666667,4.5
2020-02-26,0.6666666666666666,1.0,1.0,2.6666666666666665,6.666666666666667
2020-02-27,0.5,0.5,1.0,2.0,7.0
2020-02-28,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,6.666666666666667
2020-02-29,0.0,1.0,0.0,1.0,5.0
2020-03-01,0.0,0.0,0.0,0.0,2.0
2020-03-02,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.6666666666666667,2.6666666666666665
2020-03-03,1.0,0.5,0.75,2.25,6.75
2020-03-04,,,,,
2020-03-05,0.5,0.5,0.5,1.5,7.0
2020-03-06,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,4.0
2020-03-07,,,,,
2020-03-08,,,,,
2020-03-09,1.0,1.0,1.0,3.0,9.0
2020-03-10,0.0,1.0,0.0,1.0,7.0
2020-03-11,1.0,1.0,1.0,3.0,7.0
2020-03-12,1.0,0.0,1.0,2.0,6.5
2020-03-13,0.0,0.0,0.0,0.0,4.0
2020-03-14,1.0,1.0,0.0,2.0,4.0
2020-03-15,,,,,
2020-03-16,0.5,0.5,0.5,1.5,4.5
2020-03-17,1.0,1.0,1.0,3.0,6.0
2020-03-18,0.75,0.5,0.5,1.75,5.25
2020-03-19,1.0,1.0,0.0,2.0,6.5
2020-03-20,0.6666666666666666,0.6666666666666666,0.0,1.3333333333333333,4.0
2020-03-21,1.0,0.5,1.0,2.5,7.0
2020-03-22,0.0,0.0,0.0,0.0,5.0
2020-03-23,1.0,1.0,0.0,2.0,4.0
2020-03-24,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,3.0
2020-03-25,,,,,
2020-03-26,0.5,1.0,0.5,2.0,5.5
2020-03-27,,,,,
2020-03-28,,,,,
2020-03-29,,,,,
2020-03-30,1.0,0.0,1.0,2.0,5.5
2020-03-31,0.0,0.0,1.0,1.0,5.0
2020-04-01,1.0,0.6666666666666666,0.3333333333333333,2.0,4.666666666666667
2020-04-02,0.5,0.0,0.5,1.0,5.5
2020-04-03,1.0,1.0,1.0,3.0,5.0
2020-04-04,,,,,
2020-04-05,,,,,
2020-04-06,,,,,
2020-04-07,0.4,0.6,0.6,1.6,5.8
2020-04-08,1.0,1.0,1.0,3.0,5.5
2020-04-09,0.0,1.0,1.0,2.0,8.0
2020-04-10,0.5,0.5,0.75,1.75,5.5
2020-04-11,,,,,
2020-04-12,,,,,
2020-04-13,0.6666666666666666,0.6666666666666666,1.0,2.3333333333333335,6.666666666666667
2020-04-14,1.0,1.0,1.0,3.0,8.333333333333334
2020-04-15,1.0,0.0,1.0,2.0,8.0
2020-04-16,0.5,0.25,1.0,1.75,5.25
2020-04-17,0.5,0.0,0.0,0.5,4.0
2020-04-18,1.0,0.0,1.0,2.0,3.0
2020-04-19,0.0,1.0,0.0,1.0,4.0
2020-04-20,0.0,0.2,0.8,1.0,3.4
2020-04-21,0.5,0.8333333333333334,0.8333333333333334,2.1666666666666665,5.5
2020-04-22,0.25,0.75,0.75,1.75,5.75
2020-04-23,1.0,1.0,1.0,3.0,7.5
2020-04-24,0.0,1.0,1.0,2.0,7.5
2020-04-25,1.0,1.0,0.0,2.0,6.0
2020-04-26,,,,,
2020-04-27,0.0,1.0,0.0,1.0,4.5
2020-04-28,0.0,1.0,0.0,1.0,3.0
2020-04-29,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,2.0
2020-04-30,0.8888888888888888,0.4444444444444444,0.6666666666666666,2.0,5.555555555555555
2020-05-01,1.0,0.0,1.0,2.0,6.5
2020-05-02,,,,,
2020-05-03,,,,,
2020-05-04,1.0,0.5,0.25,1.75,5.75
2020-05-05,,,,,
2020-05-06,0.0,0.0,1.0,1.0,4.0
2020-05-07,0.5,0.5,0.5,1.5,4.0
2020-05-08,1.0,0.5,0.5,2.0,5.0
2020-05-09,,,,,
2020-05-10,0.0,0.5,0.0,0.5,4.0
2020-05-11,0.0,0.0,0.0,0.0,1.0
2020-05-12,1.0,1.0,1.0,3.0,4.0
